PlaylistName,PlaylistModifiedDate,TrackName,ArtistName,AlbumName,DateAdded
5x5,2022-11-07,J Hus,GRM Daily,Daily Duppy: Best Of Season 4,2020-10-19
5x5,2022-11-07,League Of My Own - The Intro,Chip,League of My Own II,2020-10-19
5x5,2022-11-07,AirForce - Remix,DigDat,AirForce,2020-10-19
5x5,2022-11-07,Deep Water,Dr. Dre,Compton,2020-10-19
5x5,2022-11-07,m.A.A.d city,Kendrick Lamar,"good kid, m.A.A.d city",2020-10-19
5x5,2022-11-07,Pee Pee,M Huncho,Huncholini The 1st,2020-10-19
5x5,2022-11-07,Eagles,M Huncho,Huncholini The 1st,2020-10-19
5x5,2022-11-07,March Madness,Future,March Madness,2020-10-19
5x5,2022-11-07,Undefeated,Ace Hood,Trust the Process II: Undefeated,2020-10-19
5x5,2022-11-07,Intro,Meek Mill,Championships,2020-10-19
5x5,2022-11-07,Dreams and Nightmares,Meek Mill,Dreams and Nightmares,2020-10-19
5x5,2022-11-07,Wins & Losses,Meek Mill,Wins & Losses,2020-10-19
5x5,2022-11-07,On the Regular,Meek Mill,DC4,2020-10-19
5x5,2022-11-07,Ima Boss (feat. Rick Ross),Meek Mill,"MMG Presents: Self Made, Vol. 1",2020-10-19
5x5,2022-11-07,Soldier,Eminem,The Eminem Show,2020-10-19
5x5,2022-11-07,Freaks And Geeks,Childish Gambino,Camp,2020-10-19
5x5,2022-11-07,Only If You Knew,dutchavelli,Only If You Knew,2020-10-19
5x5,2022-11-07,Daily Duppy,GRM Daily,Daily Duppy: Best Of Season 5,2020-10-19
5x5,2022-11-07,Cool With Me (feat. M1llionz),dutchavelli,Cool With Me (feat. M1llionz),2020-10-26
5x5,2022-11-07,Intro,dutchavelli,Dutch From The 5th,2020-11-06
5x5,2022-11-07,Now Or Never,Giggs,Now Or Never,2020-11-11
5x5,2022-11-07,Spin This Coupe,Abra Cadabra,Spin This Coupe,2020-11-19
5x5,2022-11-07,Excuse Me (feat. Unknown T),SL,Different Dude,2020-12-02
5x5,2022-11-07,KMT,Drake,More Life,2021-01-10
5x5,2022-11-07,10 Commandments,Chip,10 Commandments,2021-01-26
5x5,2022-11-07,Grammys,Drake,Views,2021-02-15
5x5,2022-11-07,6 God,Drake,If You're Reading This It's Too Late,2021-03-06
5x5,2022-11-07,I'm Not A Star,Rick Ross,Teflon Don,2021-03-27
5x5,2022-11-07,MegaMan,Lil Wayne,Tha Carter IV,2021-03-27
5x5,2022-11-07,Khalas,Krept & Konan,7 Days,2021-03-27
5x5,2022-11-07,John,Lil Wayne,Tha Carter IV,2021-03-27
5x5,2022-11-07,The Way I Am,Eminem,The Marshall Mathers LP,2021-03-27
5x5,2022-11-07,Unaccommodating (feat. Young M.A),Eminem,Music To Be Murdered By,2021-03-27
5x5,2022-11-07,Morley's Freestyle,Krept,Morley's Freestyle,2021-03-27
5x5,2022-11-07,Artillery,Ghetts,The Calm Before The Storm,2021-03-27
5x5,2022-11-07,POA,Future,FUTURE,2021-03-31
5x5,2022-11-07,Drip Too Hard (Lil Baby & Gunna),Lil Baby,Drip Harder,2021-03-27
